first_name,last_name,position
Bill,Delahunt,Representative
Tom,DeLay,Representative
Ronald,Dellums,Representative
Peter,Deutsch,Representative
Mike,DeWine,Senator
Lincoln,Diaz-Balart,Representative
Jay,Dickey,Representative
Julian,Dixon,Representative
Charles,Djou,Representative
Christopher,Dodd,Senator
Elizabeth,Dole,Senator
Pete,Domenici,Senator
Calvin,Dooley,Representative
John,Doolittle,Representative
Byron,Dorgan,Senator
Thelma,Drake,Representative
Steve,Driehaus,Representative
Jennifer,Dunn,Representative
Chet,Edwards,Representative
John,Edwards,Senator
Vernon,Ehlers,Representative
Robert,Ehrlich,Representative
Brad,Ellsworth,Representative
Rahm,Emanuel,Representative
Phil,English,Representative
Bob,Etheridge,Representative
Lane,Evans,Representative
Terry,Everett,Representative
Thomas,Ewing,Representative
Lauch,Faircloth,Senator
Mary,Fallin,Representative
Harris,Fawell,Representative
Vic,Fazio,Representative
Tom,Feeney,Representative
Russell,Feingold,Senator
Mike,Ferguson,Representative
Peter,Fitzgerald,Senator
Floyd,Flake,Representative
Ernie,Fletcher,Representative
Thomas,Foglietta,Representative
Mark,Foley,Representative
Michael,Forbes,Representative
Harold,Ford,Representative
Wendell,Ford,Senator
Luis,Fortuno,Representative
Vito,Fossella,Representative
Tillie,Fowler,Representative
Jon,Fox,Representative
Bob,Franks,Representative
William,Frist,Senator
Martin,Frost,Representative
Elizabeth,Furse,Representative
Greg,Ganske,Representative
Sam,Gejdenson,Representative
George,Gekas,Representative
